,Enrolled,Invoice Spend Last One Year,Invoice Count Last One Year,Annual Revenue,Early Payment Rate of Last EP Offered,Inv Average Term Days Last 30 Days,Inv Average Days to Approval 30 Days,Inv Average Days To Pay 30 Days,US,CA,GB,DE,Participation_Rate
65,0.0,189175.0,3.0,2141347.0,0.0,75.0,8.0,0.0,1,0,0,0,0.0
66,0.0,242.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
68,1.0,887186.0,1040.0,790000.0,0.0,34.0,0.73,14.0,1,0,0,0,0.134635265885
69,1.0,174.0,2.0,4456018.0,0.0,0.0,0.0,0.0,1,0,0,0,0.347451670021
70,0.0,567.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
71,1.0,426858.0,42.0,230208668.0,5.0,0.0,0.0,0.0,0,0,1,0,0.0482589594269
72,1.0,174978.0,22.0,924728000.0,18.0,25.0,8.0,18.0,1,0,0,0,0.0516074197247
73,1.0,17075.0,2.0,-1000000000.0,0.0,30.0,14.0,0.0,1,0,0,0,0.14719521644
74,1.0,451353.0,2.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.100736260677
75,1.0,395.0,1.0,190000.0,0.0,0.0,0.0,0.0,1,0,0,0,0.240946718525
76,0.0,53172.0,45.0,-1000000000.0,11.0,35.2,10.4,0.0,0,0,0,0,0.00941715974294
77,0.0,435482.0,117.0,0.0,0.0,11.67,19.67,16.0,0,0,0,0,0.0554988975852
78,0.0,207.0,1.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,1,0,0.0
79,0.0,2400.0,2.0,0.0,18.0,0.0,0.0,0.0,0,0,0,0,0.00297617072231
81,0.0,1321.0,2.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
82,1.0,521935.0,137.0,62313050.0,0.0,115.22,72.81,76.33,0,0,0,1,0.0870516120508
83,0.0,441365.0,101.0,-1000000000.0,25.0,73.31,21.23,68.0,0,1,0,0,0.00477758264538
84,0.0,88241.0,7.0,1697826.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
85,0.0,90.0,1.0,411918.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0
86,0.0,4613.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0
87,0.0,14387.0,10.0,1366957.0,0.0,36.0,47.0,0.0,0,0,0,0,0.108220367396
88,0.0,324.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.00248729346927
89,0.0,13179.0,43.0,-1000000000.0,11.0,30.5,3.5,0.0,0,0,0,0,0.00660479187199
90,0.0,699.0,4.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
91,0.0,3937.0,29.0,-1000000000.0,0.0,0.0,0.75,6.33,0,0,0,0,0.0717567832876
92,0.0,315.0,4.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
93,0.0,36378.0,5.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
94,1.0,68171.0,20.0,0.0,24.33,106.67,80.33,76.67,1,0,0,0,0.0573799820912
95,0.0,786.0,10.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
96,1.0,1047.0,1.0,590000.0,20.57,0.0,0.0,0.0,1,0,0,0,0.245326442073
97,1.0,10000.0,3.0,17206.0,0.0,0.0,0.0,0.0,1,0,0,0,0.215202440719
98,0.0,1493524.0,15.0,5238039.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0132350916643
99,0.0,311.0,4.0,-1000000000.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
